coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,tidInterpreted,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
68304,JPawelek,2017,or,Lasioglossum,,0,(Lasio),,,,,,,urn:uuid:397d81a6-6371-4102-81e9-43b02236168e,"2021-11-02 14:19:26"
68355,"Jaime Pawelek",2017,,Lasioglossum,,0,(Lasio),,,,,,,urn:uuid:c1fa3746-b968-42a8-b006-3677bf43c9f9,"2021-11-02 14:19:26"
68348,JPawelek,2017,,Lasioglossum,,0,(Lasio),,,,,,,urn:uuid:af064921-85b7-4c0e-bffe-a8d76a80537a,"2021-11-02 14:19:26"
68363,"Jaime Pawelek",2017,,Lasioglossum,,0,(Lasio),,,,,,,urn:uuid:0701cac3-5864-43df-afd8-dec22c6d4a8f,"2021-11-02 14:19:26"
68366,JPawelek,2017,,Lasioglossum,,0,(Lasio),,,,,,,urn:uuid:880e973f-455e-4755-9846-5c2558633d27,"2021-11-02 14:19:26"
69384,"J. Pawelek",2018,,"Xylocopa tabaniformis orpifex",,0,"Smith, 1874",,,,,,,urn:uuid:b9da50b5-6761-4849-acc1-1767a699483f,"2021-11-02 14:19:26"
69384,"Martin Kellogg",1982,,"Bombus vosnesenskii",,0,"Radoszkowski, 1862",,,,,,,urn:uuid:6033b61a-8f42-453d-b383-588fdbcdd53c,"2021-11-02 14:19:26"
68374,"Jaime Pawelek",2019,,Osmia,,0,"Panzer, 1806",,,,,,,urn:uuid:0039c1fe-19b1-449f-8e93-f8807460ba0c,"2021-11-02 14:19:26"
68374,"Martin Kellogg",unknown,,Apidae,,0,,,,,,,,urn:uuid:dbdbb25c-7e6f-4e40-9015-45caf5eaef9d,"2021-11-02 14:19:26"
68372,"Jaime Pawelek",2018,,"Halictus tripartitus",,0,"Cockerell, 1895",,,,,,,urn:uuid:e7f3df9f-f3c8-47f3-9faa-543c916cfad4,"2021-11-02 14:19:26"
68372,"Martin Kellogg",unknown,,Apidae,,0,,,,,,,,urn:uuid:a18b4561-bc88-463d-8b89-42a64cee7f4b,"2021-11-02 14:19:26"
68371,"Jaime Pawelek",2018,,"Peponapis pruinosa",,0,"(Say, 1837)",,,,,,,urn:uuid:242e66f4-e332-44d2-951c-9a86287f1d45,"2021-11-02 14:19:26"
68371,"Martin Kellogg",unknown,,Apidae,,0,,,,,,,,urn:uuid:c2e93133-e521-428a-8b0b-b555cd62735e,"2021-11-02 14:19:26"
68370,"Jaime Pawelek",2018,,"Diadasia nigrifrons",,0,"(Cresson, 1878)",,,,,,,urn:uuid:a880f89a-78c5-4ac9-8822-3703f6a6194e,"2021-11-02 14:19:26"
68370,"Martin Kellogg",unknown,,Apidae,,0,,,,,,,,urn:uuid:5ebd2167-cbd2-406d-b786-ec132aec74b1,"2021-11-02 14:19:26"
68367,"Jaime Pawelek",2018,,"Agapostemon texanus",,0,"Cresson, 1872",,,,,,,urn:uuid:301f34df-614e-4531-83eb-49be30cabb67,"2021-11-02 14:19:26"
68367,"Martin Kellogg",2001,,Halictidae,,0,,,,,,,,urn:uuid:92970679-688b-4933-9407-cfd8bd605b1d,"2021-11-02 14:19:26"
68373,"Jaime Pawelek",2019,,Osmia,,0,"Panzer, 1806",,,,,,,urn:uuid:799d0119-7e47-4bd3-b66d-d74115a30a4c,"2021-11-02 14:19:26"
68373,"Martin Kellogg",unknown,,Osmia,,0,"Panzer, 1806",,,,,,,urn:uuid:e5847386-432f-4992-8319-025be391477c,"2021-11-02 14:19:26"
68375,"Jaime Pawelek",2019,,"Lasioglossum tegulariforme",,0,"(Crawford, 1907)",,,,,,,urn:uuid:08281b00-b5d6-4c70-9330-90f1a37e501d,"2021-11-02 14:19:26"
68375,"Martin Kellogg",unknown,,Apidae,,0,,,,,,,,urn:uuid:275af58c-97b2-4c2f-9a4d-f9dfa5777bc7,"2021-11-02 14:19:26"
68368,"Jaime Pawelek",2018,,"Halictus tripartitus",,0,"Cockerell, 1895",,,,,,,urn:uuid:ade1f6fb-384b-4350-9674-8bfa5029e275,"2021-11-02 14:19:26"
68368,"Martin Kellogg",unknown,,Coleoptera,,0,"Linnaeus, 1758",,,,,,,urn:uuid:d9958c47-7dd8-471b-98d3-8b1ccc1825ee,"2021-11-02 14:19:26"
68369,"Jaime Pawelek",2018,,"Bombus melanopygus",,0,"Nylander, 1848",,,,,,,urn:uuid:608afe3f-8a67-42fe-8bfb-d23f957b4c38,"2021-11-02 14:19:26"
68369,"Martin Kellogg",2004,,Coleoptera,,0,"Linnaeus, 1758",,,,,,,urn:uuid:a3e45f33-57b9-456c-a341-ee5005525475,"2021-11-02 14:19:26"
69492,"Katja Seltmann",2019,,Agapostemon,,0,"Guérin-Méneville, 1844",,,,,,,urn:uuid:f6ed6a8b-acb8-4527-ab8b-04a21ea4ac2a,"2021-11-02 14:19:26"
69659,"Katja Seltmann",2019,,Agapostemon,,0,"Guérin-Méneville, 1844",,,,,,,urn:uuid:d9b6eeb8-3657-43d2-8a36-4d3e2556c0b0,"2021-11-02 14:19:26"
69659,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:b52111fa-77d1-4ec3-a02b-b80c5f5a2007,"2021-11-02 14:19:26"
69583,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:59a821e0-1e66-41ca-bf88-1f91420f9ea8,"2021-11-02 14:19:26"
69583,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:686165e2-79de-4807-b538-c87728abff7a,"2021-11-02 14:19:26"
69525,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:d8c677b3-89dc-4cf6-b153-57d7db944f53,"2021-11-02 14:19:26"
69525,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:eb69d993-9acc-40ea-b23a-aa0b6bce6f9d,"2021-11-02 14:19:26"
69537,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:f4dcc856-7c97-4360-aa51-c47d1756767b,"2021-11-02 14:19:26"
69537,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:65e9a6d8-0b1e-47d5-ae7a-280fdd0d4715,"2021-11-02 14:19:26"
69527,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:84c4c7cc-7a43-490b-bc4b-c460f678406d,"2021-11-02 14:19:26"
69527,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:9c377e35-ba3e-48f8-9e27-176f3d635c04,"2021-11-02 14:19:26"
69495,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:bdd57b9a-7f72-423b-8fae-6c91b6fd04dc,"2021-11-02 14:19:26"
69500,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:78511894-b937-41c8-9f0e-d1cc2bcbed33,"2021-11-02 14:19:26"
69500,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:9d625f73-8e11-4f1e-9a21-1333736c982e,"2021-11-02 14:19:26"
69555,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:d6d8bfea-5b06-4e71-94ca-bc5e04757d4d,"2021-11-02 14:19:26"
69555,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:f15f36d2-c912-4abd-b1bd-31a644206f78,"2021-11-02 14:19:26"
69506,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:242cf9fb-57e7-41b0-b56e-5f7bb9c74ae6,"2021-11-02 14:19:26"
69506,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:1a2e477d-c2c6-459a-900b-5dc07ca98321,"2021-11-02 14:19:26"
69502,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:182f2731-0604-4064-afc9-9c68bb542da2,"2021-11-02 14:19:26"
