CATALOGNUMBER	SEX
UCSB-IZC00000616	
UCSB-IZC00000646	MALE
UCSB-IZC00000964	FEMALE
UCSB-IZC00000988	MALE
UCSB-IZC00001084	FEMALE
UCSB-IZC00001090	MALE
UCSB-IZC00001108	FEMALE
UCSB-IZC00003622	
UCSB-IZC00003994	
UCSB-IZC00004738	FEMALE
UCSB-IZC00005581	
UCSB-IZC00005582	FEMALE
UCSB-IZC00005583	
UCSB-IZC00005584	FEMALE
UCSB-IZC00005585	FEMALE
UCSB-IZC00005586	
UCSB-IZC00005587	FEMALE
UCSB-IZC00005588	MALE
UCSB-IZC00005590	
UCSB-IZC00005591	FEMALE
UCSB-IZC00005592	
UCSB-IZC00005593	MALE
UCSB-IZC00005594	
UCSB-IZC00005595	MALE
UCSB-IZC00005596	
UCSB-IZC00005597	MALE
UCSB-IZC00005599	MALE
UCSB-IZC00005600	FEMALE
UCSB-IZC00005601	FEMALE
UCSB-IZC00005602	
UCSB-IZC00005603	MALE
UCSB-IZC00005605	FEMALE
UCSB-IZC00005606	MALE
UCSB-IZC00005608	
UCSB-IZC00005609	MALE
UCSB-IZC00005611	MALE
UCSB-IZC00005612	
UCSB-IZC00005614	FEMALE
UCSB-IZC00005616	
UCSB-IZC00005617	
UCSB-IZC00005618	MALE
UCSB-IZC00005620	FEMALE
UCSB-IZC00005621	MALE
UCSB-IZC00005622	MALE
UCSB-IZC00005623	FEMALE
UCSB-IZC00005624	FEMALE
UCSB-IZC00005625	FEMALE
UCSB-IZC00005627	FEMALE
UCSB-IZC00005628	FEMALE
UCSB-IZC00005629	MALE
UCSB-IZC00005630	FEMALE
UCSB-IZC00005632	
UCSB-IZC00005635	MALE
UCSB-IZC00005636	
UCSB-IZC00005637	FEMALE
UCSB-IZC00005639	FEMALE
UCSB-IZC00005702	
UCSB-IZC00005709	MALE
UCSB-IZC00005732	
UCSB-IZC00005756	
UCSB-IZC00005901	MALE
UCSB-IZC00005903	MALE
UCSB-IZC00005904	MALE
UCSB-IZC00005909	
UCSB-IZC00005910	FEMALE
UCSB-IZC00005913	MALE
UCSB-IZC00005915	
UCSB-IZC00005916	
UCSB-IZC00005919	
UCSB-IZC00005920	
UCSB-IZC00005921	
UCSB-IZC00005922	FEMALE
UCSB-IZC00005925	
UCSB-IZC00005926	FEMALE
UCSB-IZC00005927	
UCSB-IZC00005928	MALE
UCSB-IZC00005931	MALE
UCSB-IZC00005932	MALE
UCSB-IZC00005933	
UCSB-IZC00005934	
UCSB-IZC00005937	
UCSB-IZC00005939	
UCSB-IZC00005940	FEMALE
UCSB-IZC00008065	FEMALE
UCSB-IZC00008140	FEMALE
UCSB-IZC00008150	FEMALE
UCSB-IZC00008208	FEMALE
UCSB-IZC00008436	FEMALE
UCSB-IZC00008468	MALE
UCSB-IZC00008493	MALE
UCSB-IZC00008647	FEMALE
UCSB-IZC00008670	FEMALE
UCSB-IZC00008718	MALE
UCSB-IZC00009002	MALE
UCSB-IZC00009004	FEMALE
UCSB-IZC00009006	FEMALE
UCSB-IZC00009007	FEMALE
UCSB-IZC00009008	MALE
UCSB-IZC00009010	FEMALE
UCSB-IZC00009012	FEMALE
UCSB-IZC00009013	
UCSB-IZC00009014	MALE
UCSB-IZC00009016	FEMALE
UCSB-IZC00009019	FEMALE
UCSB-IZC00009020	MALE
UCSB-IZC00009022	
UCSB-IZC00009024	FEMALE
UCSB-IZC00009025	FEMALE
UCSB-IZC00009026	MALE
UCSB-IZC00009028	FEMALE
UCSB-IZC00009030	FEMALE
UCSB-IZC00009032	MALE
UCSB-IZC00009033	
UCSB-IZC00009034	FEMALE
UCSB-IZC00009035	FEMALE
UCSB-IZC00009036	FEMALE
UCSB-IZC00009037	MALE
UCSB-IZC00009039	FEMALE
UCSB-IZC00009040	MALE
UCSB-IZC00009041	MALE
UCSB-IZC00009042	
UCSB-IZC00009043	FEMALE
UCSB-IZC00009044	MALE
UCSB-IZC00009046	FEMALE
UCSB-IZC00009048	FEMALE
UCSB-IZC00009049	FEMALE
UCSB-IZC00036414	
UCSB-IZC00037502	MALE
UCSB-IZC00037505	FEMALE
UCSB-IZC00037513	FEMALE
UCSB-IZC00037516	MALE
UCSB-IZC00037517	FEMALE
UCSB-IZC00037533	FEMALE
UCSB-IZC00037535	FEMALE
UCSB-IZC00037539	
UCSB-IZC00037540	FEMALE
UCSB-IZC00037549	FEMALE
UCSB-IZC00037550	MALE
UCSB-IZC00037551	FEMALE
UCSB-IZC00037552	MALE
UCSB-IZC00037553	FEMALE
UCSB-IZC00037554	MALE
UCSB-IZC00038344	FEMALE
UCSB-IZC00038349	MALE
UCSB-IZC00038351	MALE
UCSB-IZC00038353	FEMALE
UCSB-IZC00038360	FEMALE
UCSB-IZC00038361	FEMALE
UCSB-IZC00038362	FEMALE
UCSB-IZC00038371	FEMALE
UCSB-IZC00038376	FEMALE
UCSB-IZC00038392	FEMALE
UCSB-IZC00038396	FEMALE
UCSB-IZC00038399	MALE
UCSB-IZC00038793	FEMALE
UCSB-IZC00038793	FEMALE
UCSB-IZC00038941	MALE
UCSB-IZC00038942	FEMALE
UCSB-IZC00038945	FEMALE
UCSB-IZC00038948	FEMALE
UCSB-IZC00038950	FEMALE
UCSB-IZC00038952	FEMALE
UCSB-IZC00038953	FEMALE
UCSB-IZC00038960	MALE
UCSB-IZC00038962	FEMALE
UCSB-IZC00038964	FEMALE
UCSB-IZC00038965	
UCSB-IZC00038967	FEMALE
UCSB-IZC00038969	FEMALE
UCSB-IZC00038978	FEMALE
UCSB-IZC00038980	FEMALE
UCSB-IZC00038981	FEMALE
UCSB-IZC00038989	
UCSB-IZC00038990	MALE
UCSB-IZC00038995	FEMALE
UCSB-IZC00039312	MALE
UCSB-IZC00039345	FEMALE
UCSB-IZC00039345	FEMALE
UCSB-IZC00040675	MALE
UCSB-IZC00042293	FEMALE
UCSB-IZC00042293	FEMALE
UCSB-IZC00042528	FEMALE
UCSB-IZC00042528	FEMALE
UCSB-IZC00042781	FEMALE
UCSB-IZC00042781	FEMALE
UCSB-IZC00043244	MALE
UCSB-IZC00043244	MALE
UCSB-IZC00043244	MALE
UCSB-IZC00043244	MALE
UCSB-IZC00043244	MALE
UCSB-IZC00043244	MALE
UCSB-IZC00043244	MALE
UCSB-IZC00043244	MALE
UCSB-IZC00043244	MALE
UCSB-IZC00043277	MALE
UCSB-IZC00043290	MALE
UCSB-IZC00043290	MALE
UCSB-IZC00043290	MALE
UCSB-IZC00043290	MALE
UCSB-IZC00043290	MALE
UCSB-IZC00043293	MALE
UCSB-IZC00043311	MALE
UCSB-IZC00043311	MALE
UCSB-IZC00043766	MALE
UCSB-IZC00043838	FEMALE
UCSB-IZC00043838	FEMALE
UCSB-IZC00045301	MALE
UCSB-IZC00045302	FEMALE
UCSB-IZC00045304	MALE
UCSB-IZC00045305	MALE
UCSB-IZC00045306	FEMALE
UCSB-IZC00045307	FEMALE
UCSB-IZC00045308	FEMALE
UCSB-IZC00045309	MALE
UCSB-IZC00045313	FEMALE
UCSB-IZC00045314	FEMALE
UCSB-IZC00045315	FEMALE
UCSB-IZC00045316	MALE
UCSB-IZC00045319	FEMALE
UCSB-IZC00045320	FEMALE
UCSB-IZC00045324	MALE
UCSB-IZC00045332	MALE
UCSB-IZC00045333	FEMALE
UCSB-IZC00045334	FEMALE
UCSB-IZC00045337	MALE
UCSB-IZC00045338	FEMALE
UCSB-IZC00045340	FEMALE
UCSB-IZC00045343	FEMALE
UCSB-IZC00045344	MALE
UCSB-IZC00045345	MALE
UCSB-IZC00045347	MALE
